City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
153,Zhangye,CN,2022-04-28 23:18:06,38.9342,100.4517,49.71,22,100,16.67,overcast clouds
154,Luderitz,NA,2022-04-28 23:18:06,-26.6481,15.1594,61.81,67,23,8.81,few clouds
155,Ambulu,ID,2022-04-28 23:18:07,-8.345,113.6058,75.38,86,97,2.21,overcast clouds
156,Nikolskoye,RU,2022-04-28 23:13:26,59.7035,30.7861,37.87,61,100,8.43,overcast clouds
157,Guaraniacu,BR,2022-04-28 23:18:07,-25.1008,-52.8781,64.87,95,67,1.14,broken clouds
158,Inuvik,CA,2022-04-28 23:18:08,68.3499,-133.7218,23.86,58,40,9.22,scattered clouds
159,Dehloran,IR,2022-04-28 23:18:08,32.6941,47.2679,76.53,43,100,5.91,overcast clouds
160,Kruisfontein,ZA,2022-04-28 23:18:08,-34.0033,24.7314,58.44,59,12,3.87,few clouds
161,Shimoda,JP,2022-04-28 23:18:09,34.6667,138.95,61.16,83,98,15.48,overcast clouds
162,Nossa Senhora Das Dores,BR,2022-04-28 23:18:09,-10.4917,-37.1933,71.47,92,100,3.51,overcast clouds
163,Hamilton,US,2022-04-28 23:14:13,39.1834,-84.5333,62.31,50,100,9.22,overcast clouds
164,Iqaluit,CA,2022-04-28 23:18:10,63.7506,-68.5145,13.73,57,75,9.22,broken clouds
165,Bambanglipuro,ID,2022-04-28 23:18:10,-7.95,110.2833,76.89,88,74,3.78,broken clouds
166,Walvis Bay,NA,2022-04-28 23:18:11,-22.9575,14.5053,67.15,59,1,3.44,clear sky
167,Tiksi,RU,2022-04-28 23:18:11,71.6872,128.8694,11.3,90,37,5.99,scattered clouds
168,Gomel,BY,2022-04-28 23:18:12,52.4345,30.9754,44.58,65,0,6.71,clear sky
169,Plettenberg Bay,ZA,2022-04-28 23:18:12,-34.0527,23.3716,60.66,67,9,3.8,clear sky
170,Pacific Grove,US,2022-04-28 23:18:12,36.6177,-121.9166,66.54,67,20,14.97,few clouds
171,Prado,BR,2022-04-28 23:18:13,-17.3411,-39.2208,75.87,85,1,5.79,clear sky
172,Sompeta,IN,2022-04-28 23:18:13,18.9333,84.6,81.05,73,32,9.01,scattered clouds
173,Rosetta,EG,2022-04-28 23:18:14,31.4044,30.4164,62.69,76,0,9.19,clear sky
174,Balikpapan,ID,2022-04-28 23:18:14,-1.2675,116.8289,77.99,89,20,0.0,few clouds
175,Severo-Kurilsk,RU,2022-04-28 23:18:14,50.6789,156.125,34.47,92,100,14.29,overcast clouds
176,Moose Factory,CA,2022-04-28 23:18:15,51.2585,-80.6094,42.8,33,0,8.05,clear sky
177,Atuona,PF,2022-04-28 23:18:15,-9.8,-139.0333,78.87,77,66,19.69,light rain
178,Farah,AF,2022-04-28 23:18:16,32.5,62.5,75.52,27,2,4.99,clear sky
179,Tutoia,BR,2022-04-28 23:18:16,-2.7619,-42.2744,77.85,90,87,7.99,overcast clouds
180,Hami,CN,2022-04-28 23:18:17,42.8,93.45,53.56,23,70,12.19,broken clouds
181,Jacqueville,CI,2022-04-28 23:18:17,5.2052,-4.4146,79.47,82,100,9.19,overcast clouds
182,Port Lincoln,AU,2022-04-28 23:15:38,-34.7333,135.8667,63.27,81,99,11.39,overcast clouds
183,Kloulklubed,PW,2022-04-28 23:18:18,7.0419,134.2556,73.9,76,100,6.33,heavy intensity rain
184,Shakiso,ET,2022-04-28 23:18:18,5.75,38.9167,57.54,97,82,1.7,broken clouds
185,Behbahan,IR,2022-04-28 23:18:19,30.5959,50.2417,74.82,37,77,2.35,broken clouds
186,Port Alfred,ZA,2022-04-28 23:18:19,-33.5906,26.891,67.05,51,10,10.85,clear sky
187,Whitehorse,CA,2022-04-28 23:19:20,60.7161,-135.0538,48.09,44,75,8.05,broken clouds
188,Naze,JP,2022-04-28 23:19:20,28.3667,129.4833,74.32,89,78,18.48,broken clouds
189,Jardim,BR,2022-04-28 23:19:21,-21.4803,-56.1381,78.46,43,62,1.14,broken clouds
190,Cidreira,BR,2022-04-28 23:19:21,-30.1811,-50.2056,66.27,88,99,11.07,overcast clouds
191,Bengkulu,ID,2022-04-28 23:19:21,-3.8004,102.2655,77.09,84,100,4.12,moderate rain
192,Soyo,AO,2022-04-28 23:19:22,-6.1349,12.3689,75.76,94,100,7.16,moderate rain
193,Miguelopolis,BR,2022-04-28 23:19:22,-20.1794,-48.0319,80.42,47,7,3.18,clear sky
194,Camacha,PT,2022-04-28 23:19:23,33.0833,-16.3333,58.42,72,40,8.05,scattered clouds
195,Maniitsoq,GL,2022-04-28 23:19:23,65.4167,-52.9,31.87,99,100,12.41,snow
196,Enterprise,US,2022-04-28 23:19:23,36.0252,-115.2419,83.32,9,0,23.02,clear sky
197,Laguna,US,2022-04-28 23:17:12,38.421,-121.4238,73.94,33,0,4.61,clear sky
198,Kurilsk,RU,2022-04-28 23:19:24,45.2333,147.8833,36.12,81,39,11.59,scattered clouds
199,Poum,NC,2022-04-28 23:19:24,-20.2333,164.0167,73.47,86,100,15.43,overcast clouds
200,Mangrol,IN,2022-04-28 23:19:25,21.1167,70.1167,81.82,76,0,9.62,clear sky
201,Mahebourg,MU,2022-04-28 23:19:25,-20.4081,57.7,75.25,94,40,3.44,scattered clouds
202,Twentynine Palms,US,2022-04-28 23:19:25,34.1356,-116.0542,81.14,13,1,5.99,clear sky
203,Batemans Bay,AU,2022-04-28 23:19:26,-35.7167,150.1833,66.09,67,5,4.72,clear sky
204,Norman Wells,CA,2022-04-28 23:19:26,65.282,-126.8329,39.24,56,40,11.5,scattered clouds
