City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Havoysund,NO,2022-03-23 01:35:35,70.9963,24.6622,30.43,79,100,13.94
163,Pisco,PE,2022-03-23 01:35:36,-13.7,-76.2167,68.05,77,0,19.57
164,Richards Bay,ZA,2022-03-23 01:35:36,-28.783,32.0377,70.54,83,100,5.99
165,Vanavara,RU,2022-03-23 01:35:37,60.34,102.2797,17.87,92,100,3.51
166,Saint-Philippe,RE,2022-03-23 01:35:37,-21.3585,55.7679,76.59,87,23,6.78
167,Hasaki,JP,2022-03-23 01:35:37,35.7333,140.8333,45.28,49,85,15.64
168,Aitape,PG,2022-03-23 01:35:38,-3.1374,142.3475,86.65,60,100,3.09
169,Tautira,PF,2022-03-23 01:35:38,-17.7333,-149.15,80.26,74,53,7.58
170,Tasiilaq,GL,2022-03-23 01:35:39,65.6145,-37.6368,-0.15,65,77,5.64
171,Roros,NO,2022-03-23 01:35:39,62.5747,11.3842,17.44,86,20,3.44
172,Cayenne,GF,2022-03-23 01:30:54,4.9333,-52.3333,76.08,1,75,11.5
173,Khatanga,RU,2022-03-23 01:35:40,71.9667,102.5,-4.41,93,100,3.24
174,Salalah,OM,2022-03-23 01:35:40,17.0151,54.0924,69.89,40,0,4.61
175,Nchelenge,ZM,2022-03-23 01:35:40,-9.3451,28.734,67.15,93,100,2.89
176,Flinders,AU,2022-03-23 01:35:41,-34.5833,150.8552,73.18,74,100,5.01
177,Sept-Iles,CA,2022-03-23 01:35:41,50.2001,-66.3821,34.32,60,75,20.71
178,Aktau,KZ,2022-03-23 01:35:42,43.65,51.2,23.58,81,6,9.95
179,Tiksi,RU,2022-03-23 01:35:42,71.6872,128.8694,-4.77,91,81,2.17
180,Lengshuijiang,CN,2022-03-23 01:35:43,27.6881,111.4294,50.27,74,94,1.05
181,Malakal,SS,2022-03-23 01:36:43,9.5334,31.6605,83.12,10,81,4.21
182,Geraldton,AU,2022-03-23 01:36:43,-28.7667,114.6,79.21,41,0,8.05
183,Fairbanks,US,2022-03-23 01:35:03,64.8378,-147.7164,15.1,51,75,18.41
184,Lalsot,IN,2022-03-23 01:36:44,26.5667,76.3333,76.17,15,1,6.15
185,Sosva,RU,2022-03-23 01:36:44,59.1766,61.8558,25.65,80,99,11.59
186,Xining,CN,2022-03-23 01:36:45,36.6167,101.7667,46.49,26,6,2.39
187,Catamarca,AR,2022-03-23 01:36:45,-28.4696,-65.7852,70.59,79,7,6.89
188,Parry Sound,CA,2022-03-23 01:36:33,45.3501,-80.033,30.25,69,100,10.71
189,Kaitangata,NZ,2022-03-23 01:33:40,-46.2817,169.8464,67.03,67,0,6.44
190,Bangassou,CF,2022-03-23 01:36:46,4.7413,22.8184,70.23,88,20,3.47
191,Bilibino,RU,2022-03-23 01:36:46,68.0546,166.4372,24.89,84,98,2.68
